"SubjID","emotion","rating","condition"
12,"LONELY ",22.67911357,"Bad-Good"
12,"GRUMPY ",38.03849644,"Bad-Good"
12,"EXCITED ",75.65596437,"Bad-Good"
12,"PROUD ",61.72838607,"Bad-Good"
12,"SORRY ",37.64800182,"Bad-Good"
13,"RELAXED ",93.21872015,"Unpleasant-Pleasant"
13,"WORRIED ",0.692454632,"Unpleasant-Pleasant"
13,"DISGUSTED ",0.214899713,"Unpleasant-Pleasant"
13,"BORED ",43.07545368,"Unpleasant-Pleasant"
13,"LONELY ",49.04489016,"Unpleasant-Pleasant"
13,"EXCITED ",91.42788921,"Unpleasant-Pleasant"
13,"UPSET ",2.841451767,"Unpleasant-Pleasant"
13,"HAPPY ",94.05444126,"Unpleasant-Pleasant"
13,"DISAPPOINTED ",9.64660936,"Unpleasant-Pleasant"
13,"JEALOUS ",20.15281757,"Unpleasant-Pleasant"
13,"SURPRISED ",50.35816619,"Unpleasant-Pleasant"
13,"NERVOUS ",37.70296084,"Unpleasant-Pleasant"
13,"EMBARRASSED ",33.64374403,"Unpleasant-Pleasant"
13,"AMAZED ",75.90735435,"Unpleasant-Pleasant"
13,"PROUD ",78.17574021,"Unpleasant-Pleasant"
13,"SAD ",19.19770774,"Unpleasant-Pleasant"
13,"SCARED ",30.53963706,"Unpleasant-Pleasant"
13,"ANNOYED ",36.747851,"Unpleasant-Pleasant"
13,"LOVE ",99.78510029,"Unpleasant-Pleasant"
13,"HATE ",7.855778415,"Unpleasant-Pleasant"
13,"PLEASED ",63.61031519,"Unpleasant-Pleasant"
13,"THANKFUL ",73.40019102,"Unpleasant-Pleasant"
13,"CALM ",97.0391595,"Unpleasant-Pleasant"
13,"ANGRY ",39.85195798,"Unpleasant-Pleasant"
13,"GRUMPY ",44.98567335,"Unpleasant-Pleasant"
13,"SORRY ",46.89589303,"Unpleasant-Pleasant"
13,"SAFE ",97.0391595,"Unpleasant-Pleasant"
14,"HAPPY ",96.89564069,"Displeasing-Pleasing"
14,"HATE ",2.278731836,"Displeasing-Pleasing"
14,"UPSET ",6.902245707,"Displeasing-Pleasing"
14,"RELAXED ",94.74900925,"Displeasing-Pleasing"
14,"DISAPPOINTED ",0.297225892,"Displeasing-Pleasing"
14,"ANNOYED ",0.297225892,"Displeasing-Pleasing"
14,"SORRY ",50.66050198,"Displeasing-Pleasing"
14,"BORED ",8.718626156,"Displeasing-Pleasing"
14,"LOVE ",98.38177015,"Displeasing-Pleasing"
14,"GRUMPY ",4.425363276,"Displeasing-Pleasing"
14,"SAFE ",98.71202114,"Displeasing-Pleasing"
14,"DISGUSTED ",1.122853369,"Displeasing-Pleasing"
14,"THANKFUL ",65.19154557,"Displeasing-Pleasing"
14,"SURPRISED ",46.3672391,"Displeasing-Pleasing"
14,"SAD ",0.132100396,"Displeasing-Pleasing"
14,"EMBARRASSED ",0.132100396,"Displeasing-Pleasing"
14,"AMAZED ",95.24438573,"Displeasing-Pleasing"
14,"CALM ",95.24438573,"Displeasing-Pleasing"
